UserScreenName,UserName,Timestamp,Text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Older and Weirder-wear a mask & open windows fgs!,@older_n_weirder,2021-01-01T18:14:27.000Z,"@poneytail
 Maybe you’d like to share this with your pals. #kbf plank. Coronavirus: Kent hospitals ‘overwhelmed’ as ICU bed occupancy hits 137% | The IndependentKent hospitals ‘overwhelmed’ as ICU bed occupancy hits 137%
Exclusive: ‘There are people on the wards that ideally we would like in intensive care but we don’t have capacity,’ clinician tells The Independent 
independent.co.uk",,,,,https://pbs.twimg.com/card_img/1345062632756289536/hb1ORzb-?format=jpg&name=medium,https://twitter.com/older_n_weirder/status/1345070901197475840
Tweets by Glenn,@Glenntwts,2021-01-01T22:17:07.000Z,"Debbie Hicks, the #PiersCorbyn follower who went round maskless and filming in a hospital outpatients department will appear in court later this month. I hope she gets a decent spell behind bars.

#COVIDIOTS #KBF #StandUpX #WearAMaskAnti-lockdown activist arrested in her dressing gown after filming 'empty' ward
Debbie Hicks was arrested at her home in Stroud after the 46-year-old walked around an outpatient ward in Gloucester Royal Hospital claiming that it was 'completely dead'
mirror.co.uk",,3,3,21,https://abs.twimg.com/hashflags/WearAMask_2020_2021_ext/WearAMask_2020_2021_ext.png,https://twitter.com/Glenntwts/status/1345131967734566912
Older and Weirder-wear a mask & open windows fgs!,@older_n_weirder,2021-01-01T21:07:16.000Z,Oooh. Getting rude now. #kbf plank.,,,,,https://pbs.twimg.com/media/EqrOaG8XUAEra4C?format=jpg&name=medium,https://twitter.com/older_n_weirder/status/1345114390102757378
Glasgow Guy #KBF,@GlasgowGuy2015,2021-01-01T03:09:32.000Z,"Replying to 
@SimonDolan8
 @SeanCollins66
 and 
@simondolanJog on please. Thanks.",,2,,,,https://twitter.com/GlasgowGuy2015/status/1344843171684089856
Simon Dolan,@SimonDolan8,2021-01-01T03:27:29.000Z,"#KBF ARE FINISHED

THE END",,,,,,https://twitter.com/SimonDolan8/status/1344847687074652161
Older and Weirder-wear a mask & open windows fgs!,,2020-11-01T05:47:20.000Z,This,,10,7,13,https://pbs.twimg.com/media/Elty329XYAAsTqm?format=jpg&name=large,https://twitter.com/older_n_weirder/status/1322777224030900226
AnotherGreen,@Anothergreen,2021-01-01T00:25:50.000Z,"Sensible advice. Ignore the #KBF brigade, morons who ignore basic precautions during a pandemic.",,1,,,,https://twitter.com/Anothergreen/status/1344801976136163329
AnotherGreen,@Anothergreen,2021-01-01T23:39:28.000Z,"#KBF is a killing joke. #COVIDIDIOTSQuote Tweet
Matthew Lee
@mbklee_
 · Jan 1
Worked the late A&E SHO shift on NYE and came out to this. Hundreds of maskless, drunk people in huge groups shouting ""Covid is a hoax"", literally outside the building where hundreds are sick and dying. Why do people still not realise the seriousness of this pandemic?
Show this thread
0:11
4M views",,,3,13,https://pbs.twimg.com/profile_images/1302895236981624833/dk_2WJR7_normal.jpg,https://twitter.com/Anothergreen/status/1345152693719990272
AnotherGreen,@Anothergreen,2021-01-01T23:39:28.000Z,"#KBF is a killing joke. #COVIDIDIOTSQuote Tweet
Matthew Lee
@mbklee_
 · Jan 1
Worked the late A&E SHO shift on NYE and came out to this. Hundreds of maskless, drunk people in huge groups shouting ""Covid is a hoax"", literally outside the building where hundreds are sick and dying. Why do people still not realise the seriousness of this pandemic?
Show this thread
4M views
0:01 / 0:11",,,3,13,https://pbs.twimg.com/profile_images/1302895236981624833/dk_2WJR7_normal.jpg,https://twitter.com/Anothergreen/status/1345152693719990272
"UKAT, THE UK ACTION TEAM",@UKActionteam,2021-01-01T21:00:21.000Z,Please all KBF nutters or covid deniers please unfollow. I can't be bothered with you.,🌎,2,4,45,,https://twitter.com/UKActionteam/status/1345112652239024130
Catweasle,@Johnkkelly2,2021-01-01T21:04:04.000Z,".

Fuck 'em.

#KBF

.",,,,1,https://pbs.twimg.com/media/EqrNrQwXMAE9S-g?format=jpg&name=small,https://twitter.com/Johnkkelly2/status/1345113583789735936
Nigel Farage,@Nigel_Farage,2021-01-01T14:02:28.000Z,Stopping China is the next big battle to fight.,,3.4K,10.9K,40.2K,https://pbs.twimg.com/media/EqptDrkXIAEhzkX.jpg,https://twitter.com/Nigel_Farage/status/1345007486785478658
Adders Brown,@AddersBrown,2021-01-01T14:22:06.000Z,"Well said 
@Nigel_Farage
 but we do need a bit of help at home please. Can you help get 
@MattHancock
 out and we need rid of 
@IndependentSage
 and get some decent advisors in! Plus there is no governance and too much corruption in the Tory party. Help us with all that too please #KBF",,,,,,https://twitter.com/AddersBrown/status/1345012426346029056
Mike Greenwood,@memikemyself,2021-01-01T13:36:41.000Z,"@BritainFree
 #KBF
Here are some actual facts. Not some guy of YouTube, not someone's sister's mate's cousin's husband. 

Science isn't subjective. The data is genuinely scary. Please take this seriously.Quote Tweet
Dr Philip Lee
@drphiliplee1
 · Jan 1
Common nonsense I hear about covid, a thread
Show this thread",,,1,,https://pbs.twimg.com/profile_images/1283510058425503747/mkt5at8i_normal.jpg,https://twitter.com/memikemyself/status/1345000996783738880
Davod Yu,@DavodYu,2021-01-01T02:53:27.000Z,Happy New year #Hello2021 #NewYear2021 #KBFGIF,,,,,https://pbs.twimg.com/tweet_video_thumb/EqnUBx8XUAA_XfG.jpg,https://twitter.com/DavodYu/status/1344839122997956614
Tess Summers,@tesssummers98,2021-01-01T16:19:49.000Z,"Outrage as President Macron says Brexit is the product of 'lies and false promises' in annual address.
I guess he didn't get his own way and Merkel shut him down over Brexit. He knows he's finished, he's having a final tantrum.Macron says Brexit is the product of 'lies and false promises'
French president Emmanuel Macron has told how Brexit is the product of 'lies and false promises' in an annual address delivered hours after his father denounced him.
dailymail.co.uk",,28,46,167,https://pbs.twimg.com/card_img/1344978634772246528/XxGOaglE?format=jpg&name=small,https://twitter.com/tesssummers98/status/1345042053571477509
"Colt
✞",@Colttech,2021-01-01T18:05:24.000Z,"Moron Marxist Rothschild Pig, Emmanuel Macron.
The fine people of France deserve far better.
#KBF",💎,,,,https://abs-0.twimg.com/emoji/v2/svg/1f1eb-1f1f7.svg,https://twitter.com/Colttech/status/1345068624801898496
Freeus2021,@freeus2021,2021-01-01T18:18:23.000Z,"Need to know ,how many in government have bought in to the narrative of WEF and  Schwab ,can see with the prolonged unevidenced lockdown restrictions mooted to go well into the middle of year a chance for even greater theft of wealth .
#KBF
#BorisTheLiar
#NormalPeople 
#",,,,,,https://twitter.com/freeus2021/status/1345071890923200513
Steven Gaitt,@gaittman,2021-01-01T14:56:27.000Z,"Replying to 
@scottroughton
 @Saffiya_Khan1
 and 2 othersAnd what make it more ridiculous, is that the #KBF Patriot Puppetmaster that she and others follow 
@simondolan
 is a huge fucking hypocrite. Actually lives in Monaco where it’s LAW to wear a mask. Not to mention his airline flew masks back in April saying they saved lives.",,1,,1,https://pbs.twimg.com/media/Eqp5iNCXUAIyQRC?format=jpg&name=large,https://twitter.com/gaittman/status/1345021071934820354
I do not consent #KBF,@Idonotconsent6,2021-01-01T23:05:14.000Z,"Replying to 
@matthewpwillis
 @kimberl91247848
 and 
@SkyNewsWhat is this bollox! ",✊ 🤣,1,,,https://abs-0.twimg.com/emoji/v2/svg/1f923.svg,https://twitter.com/Idonotconsent6/status/1345144077067689990
Mr Matt,@matthewpwillis,2021-01-01T23:07:04.000Z,"I think I need to do my little rhyme again.  Ears, eyes and mind shut tight, that's how the #kbf get all their insight.",,1,,,,https://twitter.com/matthewpwillis/status/1345144539430989825
Peter Ottaway,@pete_ottaway,2021-01-01T20:50:30.000Z,Always telling how many of the #kbf lot use fake names and generic avatar images....,,,,,,https://twitter.com/pete_ottaway/status/1345110169571745809
"keithg8
#KBF",@keithg811,2021-01-01T19:48:32.000Z,"Replying to 
@DrTEB
 and 
@3112MelShe needs to be introduced to a long, thick rope and some heavy duty scaffolding.
#KBF from these communist bastards.",🙂,1,,,,https://twitter.com/keithg811/status/1345094575522766850
AnotherGreen,@Anothergreen,2021-01-01T02:05:02.000Z,"Replying to 
@Doolallyomalley
 and 
@Intuitive19661000s dying #KBF means kill British Folk. Pure evil.",,2,,1,,https://twitter.com/Anothergreen/status/1344826940293849088
Mindy 사랑해,@UARETHEIRVOICE,2021-01-01T22:25:02.000Z,"Stop South Korean dog/cat meat industry! 
 #dogmeat #catmeat #animalcruelty #SouthKorea #Korea #한국 #Samsung #Hyundai #LG #Kia #SK #ImagineYourKorea #Hynix #Shinhan #KEP #Hanwha #HyundaiMobis #KBF #CJ #GSCaltex #POSCO #FILA #Galaxy
 Hyundai must speak out against the brutality of South Korea! - Stop the Dog and Cat Consumption in...
South Korea’s Conglomerates (called “Jaebol”) have an enormous power and influence over their government and people because they make up the majority of their economy and employ millions of people...
koreandogs.org",😿 😢 😭 ✊ 🐾 👉,,,,https://abs-0.twimg.com/emoji/v2/svg/1f63f.svg,https://twitter.com/UARETHEIRVOICE/status/1345133961228509187
AnotherGreen,@Anothergreen,2021-01-01T00:41:16.000Z,"Replying to 
@daveydarro
 @wendymo94921768
 and 3 othersGood to protect our families, take sensible precautions, listen to the science and be aware of unforeseen consequences. But fuck the death cultists #KBF covidiots.",,1,,3,,https://twitter.com/Anothergreen/status/1344805858690129923
Mr Matt,@matthewpwillis,2021-01-01T22:56:36.000Z,"Replying to 
@Idonotconsent6
 @kimberl91247848
 and 
@SkyNewsNo, this one is by the ONS.  Anyway, for some reason 
@kimberl91247848
 has closed her eyes, ears and mind completely by doing the #kbf block, but there we are then.",,1,,,,https://twitter.com/matthewpwillis/status/1345141906112716811
Notstradamus,@WatchMoron,2021-01-01T18:47:03.000Z,#kbf The government are bullshitting about Easter - official.,,,,,,https://twitter.com/WatchMoron/status/1345079103335133184
Rhythm of Zat Knight,@93rdmin,2021-01-01T19:45:32.000Z,"Kuerten, Piers Corbyn and Rose splitting the nutter vote is great to see #KBF",,,,,,https://twitter.com/93rdmin/status/1345093821613408256
AnotherGreen,@Anothergreen,2021-01-01T02:44:16.000Z,"Replying to 
@Doolallyomalley
 and 
@Intuitive1966No #KBF stands for 'Kill British Folk"". A pandemic is taking our loved ones and morons are doing their bit to make it worse. Sorry to be bitter but my kids gran spent time intensive care with covid, so you can imagine how much scare and disgust me.",,2,,,,https://twitter.com/Anothergreen/status/1344836812485881857
