date,areaType,areaCode,areaName,hospitalCases
"2020-11-06",nation,S92000003,Scotland,1237
"2020-11-05",nation,S92000003,Scotland,1252
"2020-11-04",nation,S92000003,Scotland,1257
"2020-11-03",nation,S92000003,Scotland,1264
"2020-11-02",nation,S92000003,Scotland,1235
"2020-11-01",nation,S92000003,Scotland,1193
"2020-10-31",nation,S92000003,Scotland,1149
"2020-10-30",nation,S92000003,Scotland,1171
"2020-10-29",nation,S92000003,Scotland,1152
"2020-10-28",nation,S92000003,Scotland,1117
"2020-10-27",nation,S92000003,Scotland,1100
"2020-10-26",nation,S92000003,Scotland,1052
"2020-10-25",nation,S92000003,Scotland,1016
"2020-10-24",nation,S92000003,Scotland,985
"2020-10-23",nation,S92000003,Scotland,975
"2020-10-22",nation,S92000003,Scotland,934
"2020-10-21",nation,S92000003,Scotland,873
"2020-10-20",nation,S92000003,Scotland,824
"2020-10-19",nation,S92000003,Scotland,755
"2020-10-18",nation,S92000003,Scotland,712
"2020-10-17",nation,S92000003,Scotland,672
"2020-10-16",nation,S92000003,Scotland,627
"2020-10-15",nation,S92000003,Scotland,601
"2020-10-14",nation,S92000003,Scotland,570
"2020-10-13",nation,S92000003,Scotland,527
"2020-10-12",nation,S92000003,Scotland,487
"2020-10-11",nation,S92000003,Scotland,449
"2020-10-10",nation,S92000003,Scotland,432
"2020-10-09",nation,S92000003,Scotland,397
"2020-10-08",nation,S92000003,Scotland,377
"2020-10-07",nation,S92000003,Scotland,319
"2020-10-06",nation,S92000003,Scotland,262
"2020-10-05",nation,S92000003,Scotland,218
"2020-10-04",nation,S92000003,Scotland,210
"2020-10-03",nation,S92000003,Scotland,191
"2020-10-02",nation,S92000003,Scotland,175
"2020-10-01",nation,S92000003,Scotland,154
"2020-09-30",nation,S92000003,Scotland,137
"2020-09-29",nation,S92000003,Scotland,123
"2020-09-28",nation,S92000003,Scotland,122
"2020-09-27",nation,S92000003,Scotland,105
"2020-09-26",nation,S92000003,Scotland,99
"2020-09-25",nation,S92000003,Scotland,89
"2020-09-24",nation,S92000003,Scotland,85
"2020-09-23",nation,S92000003,Scotland,83
"2020-09-22",nation,S92000003,Scotland,73
"2020-09-21",nation,S92000003,Scotland,73
"2020-09-20",nation,S92000003,Scotland,63
"2020-09-19",nation,S92000003,Scotland,64
"2020-09-18",nation,S92000003,Scotland,61
"2020-09-17",nation,S92000003,Scotland,52
"2020-09-16",nation,S92000003,Scotland,51
"2020-09-15",nation,S92000003,Scotland,48
"2020-09-14",nation,S92000003,Scotland,51
"2020-09-13",nation,S92000003,Scotland,45
"2020-09-12",nation,S92000003,Scotland,42
"2020-09-11",nation,S92000003,Scotland,45
"2020-09-10",nation,S92000003,Scotland,266
"2020-09-09",nation,S92000003,Scotland,274
"2020-09-08",nation,S92000003,Scotland,267
"2020-09-07",nation,S92000003,Scotland,256
"2020-09-06",nation,S92000003,Scotland,245
"2020-09-05",nation,S92000003,Scotland,251
"2020-09-04",nation,S92000003,Scotland,258
"2020-09-03",nation,S92000003,Scotland,259
"2020-09-02",nation,S92000003,Scotland,258
"2020-09-01",nation,S92000003,Scotland,264
"2020-08-31",nation,S92000003,Scotland,258
"2020-08-30",nation,S92000003,Scotland,251
"2020-08-29",nation,S92000003,Scotland,258
"2020-08-28",nation,S92000003,Scotland,255
"2020-08-27",nation,S92000003,Scotland,257
"2020-08-26",nation,S92000003,Scotland,249
"2020-08-25",nation,S92000003,Scotland,243
"2020-08-24",nation,S92000003,Scotland,248
"2020-08-23",nation,S92000003,Scotland,245
"2020-08-22",nation,S92000003,Scotland,246
"2020-08-21",nation,S92000003,Scotland,254
"2020-08-20",nation,S92000003,Scotland,249
"2020-08-19",nation,S92000003,Scotland,248
"2020-08-18",nation,S92000003,Scotland,254
"2020-08-17",nation,S92000003,Scotland,248
"2020-08-16",nation,S92000003,Scotland,243
"2020-08-15",nation,S92000003,Scotland,244
"2020-08-14",nation,S92000003,Scotland,253
"2020-08-13",nation,S92000003,Scotland,258
"2020-08-12",nation,S92000003,Scotland,265
"2020-08-11",nation,S92000003,Scotland,269
"2020-08-10",nation,S92000003,Scotland,267
"2020-08-09",nation,S92000003,Scotland,261
"2020-08-08",nation,S92000003,Scotland,261
"2020-08-07",nation,S92000003,Scotland,262
"2020-08-06",nation,S92000003,Scotland,270
"2020-08-05",nation,S92000003,Scotland,267
"2020-08-04",nation,S92000003,Scotland,270
"2020-08-03",nation,S92000003,Scotland,265
"2020-08-02",nation,S92000003,Scotland,265
"2020-08-01",nation,S92000003,Scotland,260
"2020-07-31",nation,S92000003,Scotland,255
"2020-07-30",nation,S92000003,Scotland,260
"2020-07-29",nation,S92000003,Scotland,260
"2020-07-28",nation,S92000003,Scotland,264
"2020-07-27",nation,S92000003,Scotland,270
"2020-07-26",nation,S92000003,Scotland,267
"2020-07-25",nation,S92000003,Scotland,270
"2020-07-24",nation,S92000003,Scotland,278
"2020-07-23",nation,S92000003,Scotland,287
"2020-07-22",nation,S92000003,Scotland,295
"2020-07-21",nation,S92000003,Scotland,303
"2020-07-20",nation,S92000003,Scotland,299
"2020-07-19",nation,S92000003,Scotland,302
"2020-07-18",nation,S92000003,Scotland,305
"2020-07-17",nation,S92000003,Scotland,316
"2020-07-16",nation,S92000003,Scotland,320
"2020-07-15",nation,S92000003,Scotland,329
"2020-07-14",nation,S92000003,Scotland,327
"2020-07-13",nation,S92000003,Scotland,335
"2020-07-12",nation,S92000003,Scotland,330
"2020-07-11",nation,S92000003,Scotland,323
"2020-07-10",nation,S92000003,Scotland,337
"2020-07-09",nation,S92000003,Scotland,342
"2020-07-08",nation,S92000003,Scotland,358
"2020-07-07",nation,S92000003,Scotland,376
"2020-07-06",nation,S92000003,Scotland,384
"2020-07-05",nation,S92000003,Scotland,424
"2020-07-04",nation,S92000003,Scotland,429
"2020-07-03",nation,S92000003,Scotland,422
"2020-07-02",nation,S92000003,Scotland,432
"2020-07-01",nation,S92000003,Scotland,439
"2020-06-30",nation,S92000003,Scotland,450
"2020-06-29",nation,S92000003,Scotland,453
"2020-06-28",nation,S92000003,Scotland,453
"2020-06-27",nation,S92000003,Scotland,456
"2020-06-26",nation,S92000003,Scotland,467
"2020-06-25",nation,S92000003,Scotland,472
"2020-06-24",nation,S92000003,Scotland,489
"2020-06-23",nation,S92000003,Scotland,512
"2020-06-22",nation,S92000003,Scotland,515
"2020-06-21",nation,S92000003,Scotland,518
"2020-06-20",nation,S92000003,Scotland,511
"2020-06-19",nation,S92000003,Scotland,518
"2020-06-18",nation,S92000003,Scotland,544
"2020-06-17",nation,S92000003,Scotland,552
"2020-06-16",nation,S92000003,Scotland,567
"2020-06-15",nation,S92000003,Scotland,578
"2020-06-14",nation,S92000003,Scotland,575
"2020-06-13",nation,S92000003,Scotland,582
"2020-06-12",nation,S92000003,Scotland,590
"2020-06-11",nation,S92000003,Scotland,610
"2020-06-10",nation,S92000003,Scotland,623
"2020-06-09",nation,S92000003,Scotland,641
"2020-06-08",nation,S92000003,Scotland,655
"2020-06-07",nation,S92000003,Scotland,646
"2020-06-06",nation,S92000003,Scotland,646
"2020-06-05",nation,S92000003,Scotland,676
"2020-06-04",nation,S92000003,Scotland,685
"2020-06-03",nation,S92000003,Scotland,706
"2020-06-02",nation,S92000003,Scotland,712
"2020-06-01",nation,S92000003,Scotland,735
"2020-05-31",nation,S92000003,Scotland,732
"2020-05-30",nation,S92000003,Scotland,735
"2020-05-29",nation,S92000003,Scotland,769
"2020-05-28",nation,S92000003,Scotland,797
"2020-05-27",nation,S92000003,Scotland,810
"2020-05-26",nation,S92000003,Scotland,833
"2020-05-25",nation,S92000003,Scotland,849
"2020-05-24",nation,S92000003,Scotland,845
"2020-05-23",nation,S92000003,Scotland,841
"2020-05-22",nation,S92000003,Scotland,874
"2020-05-21",nation,S92000003,Scotland,909
"2020-05-20",nation,S92000003,Scotland,943
"2020-05-19",nation,S92000003,Scotland,969
"2020-05-18",nation,S92000003,Scotland,1005
"2020-05-17",nation,S92000003,Scotland,1007
"2020-05-16",nation,S92000003,Scotland,1011
"2020-05-15",nation,S92000003,Scotland,1066
"2020-05-14",nation,S92000003,Scotland,1100
"2020-05-13",nation,S92000003,Scotland,1101
"2020-05-12",nation,S92000003,Scotland,1131
"2020-05-11",nation,S92000003,Scotland,1145
"2020-05-10",nation,S92000003,Scotland,1132
"2020-05-09",nation,S92000003,Scotland,1165
"2020-05-08",nation,S92000003,Scotland,1168
"2020-05-07",nation,S92000003,Scotland,1199
"2020-05-06",nation,S92000003,Scotland,1204
"2020-05-05",nation,S92000003,Scotland,1225
"2020-05-04",nation,S92000003,Scotland,1279
"2020-05-03",nation,S92000003,Scotland,1266
"2020-05-02",nation,S92000003,Scotland,1277
"2020-05-01",nation,S92000003,Scotland,1302
"2020-04-30",nation,S92000003,Scotland,1324
"2020-04-29",nation,S92000003,Scotland,1363
"2020-04-28",nation,S92000003,Scotland,1359
"2020-04-27",nation,S92000003,Scotland,1387
"2020-04-26",nation,S92000003,Scotland,1382
"2020-04-25",nation,S92000003,Scotland,1385
"2020-04-24",nation,S92000003,Scotland,1383
"2020-04-23",nation,S92000003,Scotland,1423
"2020-04-22",nation,S92000003,Scotland,1432
"2020-04-21",nation,S92000003,Scotland,1472
"2020-04-20",nation,S92000003,Scotland,1520
"2020-04-19",nation,S92000003,Scotland,1520
"2020-04-18",nation,S92000003,Scotland,1501
"2020-04-17",nation,S92000003,Scotland,1487
"2020-04-16",nation,S92000003,Scotland,1479
"2020-04-15",nation,S92000003,Scotland,1486
"2020-04-14",nation,S92000003,Scotland,1514
"2020-04-13",nation,S92000003,Scotland,1482
"2020-04-12",nation,S92000003,Scotland,1487
"2020-04-11",nation,S92000003,Scotland,1467
"2020-04-10",nation,S92000003,Scotland,1461
"2020-04-09",nation,S92000003,Scotland,1440
"2020-04-08",nation,S92000003,Scotland,1415
"2020-04-07",nation,S92000003,Scotland,1328
"2020-04-06",nation,S92000003,Scotland,1262
"2020-04-05",nation,S92000003,Scotland,1204
"2020-04-04",nation,S92000003,Scotland,1107
"2020-04-03",nation,S92000003,Scotland,1037
"2020-04-02",nation,S92000003,Scotland,910
"2020-04-01",nation,S92000003,Scotland,815
"2020-03-31",nation,S92000003,Scotland,752
"2020-03-30",nation,S92000003,Scotland,627
"2020-03-29",nation,S92000003,Scotland,565
"2020-03-28",nation,S92000003,Scotland,511
"2020-03-27",nation,S92000003,Scotland,404
